traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
荼,荼,chá,cha2,cha,2,drae,dr-,-ae,ping,ɖæ¹,*lˤra,(name of a plant),0082x,"53221,11",140,7,U+837C
槎,槎,chá,cha2,cha,2,dzrae,dzr-,-ae,ping,d͡ʐæ¹,*[dz]ˤraj,cut trees,0005h,"21255,02",75,10,U+69CE
槎,槎,chá,cha2,cha,2,dzraeX,dzr-,-ae,shang,d͡ʐæ²,*[dz]ˤrajʔ,to cut trees,0005h,"21255,02",75,10,U+69CE
察,察,chá,cha2,cha,2,tsrheat,tsrh-,-eat,ru,ʦʰɛt⁴,*[tsʰ]ˤret,examine,0337j,"20948,08",40,11,U+5BDF
詫,诧,chà,cha4,cha,4,trhaeH,trh-,-ae,qu,ʈʰæ³,*tʰˤrak-s,tell,0780h,"63972,01",149,6,U+8A6B
拆,拆,chāi,chai1,chai,1,trhaek,trh-,-aek,ru,ʈʰæk⁴,*qʰˤ<r>ak (dialect: *qʰˤr- > *r̥ˤ- > trh-),"take apart, dismantle",0792-,"31855,02",64,5,U+62C6
差,差,chāi,chai1,chai,1,tsrhea,tsrh-,-ea,ping,ʦʰɛ¹,*[tsʰ]raj,distinction; to select,0005f,"10413,04",48,7,U+5DEE
差,差,chāi,chai1,chai,1,tsrheaj,tsrh-,-eaj,ping,ʦʰɛj¹,*[tsʰ](ˤ)raj,distinction; to select,0005f,"10413,04",48,7,U+5DEE
祡,祡,chái,chai2,chai,2,dzrea,dzr-,-ea,ping,d͡ʐɛ¹,*[C.dz]ˤre(j),firewood,0358v,"42396,07",113,5,U+7961
儕,侪,chái,chai2,chai,2,dzreaj,dzr-,-eaj,ping,d͡ʐɛj¹,*[dz]ˤ<r>əj,"category, equals",0593z,"10231,14",9,14,U+5115
豺,豺,chái,chai2,chai,2,dzreaj,dzr-,-eaj,ping,d͡ʐɛj¹,*[dz]ˤrə,wolf,0943t,"63908,04",153,3,U+8C7A
